table,key,actual,expected,pass
Table 7,"('DBLP-Scholar', 'Generative, kernel density', 'pretrained')",0.043/0.014,0.043/0.014,True
Table 7,"('DBLP-Scholar', 'Generative, kernel density', 'fine_tuned')",0.046/0.011,0.046/0.011,True
Table 7,"('DBLP-Scholar', 'Discriminative, logistic', 'pretrained')",0.009/0.068,0.009/0.068,True
Table 7,"('DBLP-Scholar', 'Discriminative, logistic', 'fine_tuned')",0.026/0.027,0.026/0.027,True
Table 7,"('DBLP-Scholar', 'Cross-encoder', 'pretrained')",0.061/0.026,0.061/0.026,True
Table 7,"('DBLP-Scholar', 'Cross-encoder', 'fine_tuned')",0.018/0.014,0.018/0.014,True
Table 7,"('Abt-Buy', 'Generative, kernel density', 'pretrained')",0.327/0.356,0.327/0.356,True
Table 7,"('Abt-Buy', 'Generative, kernel density', 'fine_tuned')",0.124/0.145,0.124/0.145,True
Table 7,"('Abt-Buy', 'Discriminative, logistic', 'pretrained')",0.233/0.543,0.233/0.543,True
Table 7,"('Abt-Buy', 'Discriminative, logistic', 'fine_tuned')",0.053/0.269,0.053/0.269,True
Table 7,"('Abt-Buy', 'Cross-encoder', 'pretrained')",0.267/0.278,0.267/0.278,True
Table 7,"('Abt-Buy', 'Cross-encoder', 'fine_tuned')",0.041/0.152,0.041/0.152,True
Section 4.1 CE block-size sensitivity,"('Abt-Buy', 5)",0.056/0.219,0.056/0.219,True
Section 4.1 CE block-size sensitivity,"('Abt-Buy', 50)",0.041/0.152,0.041/0.152,True
Section 4.1 CE block-size sensitivity,"('DBLP-Scholar', 5)",0.022/0.013,0.022/0.013,True
Section 4.1 CE block-size sensitivity,"('DBLP-Scholar', 50)",0.018/0.014,0.018/0.014,True
Table 8,"('DBLP-Scholar', 'Q1', 'Cross-encoder')",0.033/0.029,0.033/0.029,True
Table 8,"('DBLP-Scholar', 'Q1', 'Logistic regression')",0.037/0.045,0.037/0.045,True
Table 8,"('DBLP-Scholar', 'Q2', 'Cross-encoder')",0.034/0.022,0.034/0.022,True
Table 8,"('DBLP-Scholar', 'Q2', 'Logistic regression')",0.031/0.063,0.031/0.063,True
Table 8,"('DBLP-Scholar', 'Q3', 'Cross-encoder')",0.008/0.010,0.008/0.010,True
Table 8,"('DBLP-Scholar', 'Q3', 'Logistic regression')",0.006/0.041,0.006/0.041,True
Table 8,"('DBLP-Scholar', 'Q4', 'Cross-encoder')",0.000/0.000,0.000/0.000,True
Table 8,"('DBLP-Scholar', 'Q4', 'Logistic regression')",0.000/0.000,0.000/0.000,True
Table 8,"('Abt-Buy', 'Q1', 'Cross-encoder')",0.121/0.400,0.121/0.400,True
Table 8,"('Abt-Buy', 'Q1', 'Logistic regression')",0.230/0.706,0.230/0.706,True
Table 8,"('Abt-Buy', 'Q2', 'Cross-encoder')",0.051/0.131,0.051/0.131,True
Table 8,"('Abt-Buy', 'Q2', 'Logistic regression')",0.101/0.259,0.101/0.259,True
Table 8,"('Abt-Buy', 'Q3', 'Cross-encoder')",0.016/0.072,0.016/0.072,True
Table 8,"('Abt-Buy', 'Q3', 'Logistic regression')",0.017/0.017,0.017/0.017,True
Table 8,"('Abt-Buy', 'Q4', 'Cross-encoder')",0.000/0.005,0.000/0.005,True
Table 8,"('Abt-Buy', 'Q4', 'Logistic regression')",0.000/0.000,0.000/0.000,True
Table 9,"('DBLP-Scholar', 0.5)",0.017/0.001/0.058/0.015/0.001/0.077,0.017/0.001/0.058/0.015/0.001/0.077,True
Table 9,"('DBLP-Scholar', 0.6)",0.019/0.001/0.078/0.016/0.001/0.077,0.019/0.001/0.078/0.016/0.001/0.077,True
Table 9,"('DBLP-Scholar', 0.7)",0.014/0.002/0.136/0.015/0.002/0.110,0.014/0.002/0.136/0.015/0.002/0.110,True
Table 9,"('DBLP-Scholar', 0.8)",0.016/0.003/0.171/0.016/0.002/0.102,0.016/0.003/0.171/0.016/0.002/0.102,True
Table 9,"('DBLP-Scholar', 0.9)",0.015/0.003/0.188/0.019/0.002/0.115,0.015/0.003/0.188/0.019/0.002/0.115,True
Table 9,"('Abt-Buy', 0.5)",0.039/0.003/0.064/0.160/0.005/0.033,0.039/0.003/0.064/0.160/0.005/0.033,True
Table 9,"('Abt-Buy', 0.6)",0.034/0.003/0.076/0.168/0.009/0.051,0.034/0.003/0.076/0.168/0.009/0.051,True
Table 9,"('Abt-Buy', 0.7)",0.029/0.004/0.133/0.164/0.004/0.026,0.029/0.004/0.133/0.164/0.004/0.026,True
Table 9,"('Abt-Buy', 0.8)",0.033/0.002/0.066/0.174/0.007/0.041,0.033/0.002/0.066/0.174/0.007/0.041,True
Table 9,"('Abt-Buy', 0.9)",0.029/0.004/0.148/0.158/0.013/0.080,0.029/0.004/0.148/0.158/0.013/0.080,True
Table 10,"('FLR', 'Abt-Buy', 0.5)",0.039/0.001/0.004/0.001/0.006,0.039/0.001/0.004/0.001/0.006,True
Table 10,"('FLR', 'Abt-Buy', 0.6)",0.034/-0.001/0.006/0.004/0.006,0.034/-0.001/0.006/0.004/0.006,True
Table 10,"('FLR', 'Abt-Buy', 0.7)",0.029/0.007/0.007/0.008/0.006,0.029/0.007/0.007/0.008/0.006,True
Table 10,"('FLR', 'Abt-Buy', 0.8)",0.033/0.001/0.005/0.001/0.004,0.033/0.001/0.005/0.001/0.004,True
Table 10,"('FLR', 'Abt-Buy', 0.9)",0.029/0.004/0.005/0.006/0.006,0.029/0.004/0.005/0.006/0.006,True
Table 10,"('FLR', 'DBLP-Scholar', 0.5)",0.017/0.003/0.003/0.004/0.002,0.017/0.003/0.003/0.004/0.002,True
Table 10,"('FLR', 'DBLP-Scholar', 0.6)",0.019/0.005/0.003/0.003/0.002,0.019/0.005/0.003/0.003/0.002,True
Table 10,"('FLR', 'DBLP-Scholar', 0.7)",0.014/0.005/0.003/0.010/0.003,0.014/0.005/0.003/0.010/0.003,True
Table 10,"('FLR', 'DBLP-Scholar', 0.8)",0.016/0.003/0.004/0.008/0.004,0.016/0.003/0.004/0.008/0.004,True
Table 10,"('FLR', 'DBLP-Scholar', 0.9)",0.015/0.004/0.003/0.007/0.003,0.015/0.004/0.003/0.007/0.003,True
Table 10,"('MMR', 'Abt-Buy', 0.5)",0.160/0.015/0.012/0.010/0.009,0.160/0.015/0.012/0.010/0.009,True
Table 10,"('MMR', 'Abt-Buy', 0.6)",0.168/0.015/0.014/-0.004/0.013,0.168/0.015/0.014/-0.004/0.013,True
Table 10,"('MMR', 'Abt-Buy', 0.7)",0.164/-0.002/0.008/0.007/0.009,0.164/-0.002/0.008/0.007/0.009,True
Table 10,"('MMR', 'Abt-Buy', 0.8)",0.174/-0.007/0.014/-0.008/0.008,0.174/-0.007/0.014/-0.008/0.008,True
Table 10,"('MMR', 'Abt-Buy', 0.9)",0.158/0.008/0.018/0.007/0.016,0.158/0.008/0.018/0.007/0.016,True
Table 10,"('MMR', 'DBLP-Scholar', 0.5)",0.015/-0.002/0.001/0.005/0.002,0.015/-0.002/0.001/0.005/0.002,True
Table 10,"('MMR', 'DBLP-Scholar', 0.6)",0.016/-0.001/0.002/-0.000/0.002,0.016/-0.001/0.002/0.000/0.002,True
Table 10,"('MMR', 'DBLP-Scholar', 0.7)",0.015/-0.001/0.003/0.003/0.003,0.015/-0.001/0.003/0.003/0.003,True
Table 10,"('MMR', 'DBLP-Scholar', 0.8)",0.016/0.001/0.003/0.002/0.003,0.016/0.001/0.003/0.002/0.003,True
Table 10,"('MMR', 'DBLP-Scholar', 0.9)",0.019/-0.003/0.003/-0.003/0.002,0.019/-0.003/0.003/-0.003/0.002,True
